comment,section,stakeholder,version,subsection
"The new simplified compliance framework is absolutely outstanding and greatly reduces procedural paperwork.",Compliance,Small Business,v1.0,Section 12(1)
"We strongly support these positive governance reforms; they make board oversight much better and clearer.",Governance,Large Enterprise,v1.0,Section 149
"Excessive compliance burden and harsh fines make small business operations very difficult.",Compliance,Small Business,v1.0,Section 12(2)
"Penalty structure under Section 454 is overly punitive and needs rationalization.",Penalties,Professional,v1.0,Section 454
"Vague reporting timelines create severe implementation ambiguity across corporate secretarial teams.",Reporting,Industry Association,v1.0,Section 92
"Excellent amendment in revised draft that provides tremendous clarity and beneficial provisions for all companies.",Reporting,Professional,v2.0,Section 92
"We commend the Ministry for this very helpful and constructive policy revision.",Governance,Industry Association,v2.0,Section 149
"Compliance requirements are simplified in v2.0, but penalty thresholds remain somewhat unclear.",Compliance,Small Business,v2.0,Section 12(2)
"Implementation timelines have been clarified effectively in this revised draft.",Reporting,Large Enterprise,v2.0,Section 92
"Penalty amounts are still somewhat high for minor procedural non-compliances.",Penalties,Small Business,v2.0,Section 454
"Highly effective and fair regulations that support MSMEs and startups perfectly.",Compliance,Small Business,v3.0,Section 12(1)
"A wonderful and transparent step forward for Indian corporate governance.",Governance,Citizen,v3.0,Section 149
"Penalty structure is now reasonable and well balanced in version 3.",Penalties,Professional,v3.0,Section 454
"Compliance burden has been resolved satisfactorily following industry stakeholder feedback.",Compliance,Industry Association,v3.0,Section 12(2)
"Clear, transparent, and robust governance framework welcomed by industry.",Governance,Large Enterprise,v3.0,Section 149
